timestamp,symbol,factor_name,factor_value
2024-01-02T16:00:00,USTECH001,momentum,-0.0875
2024-01-02T16:00:00,USTECH002,momentum,-0.0750
2024-01-02T16:00:00,USTECH003,momentum,-0.0625
2024-01-02T16:00:00,USTECH004,momentum,-0.0500
2024-01-02T16:00:00,USTECH005,momentum,-0.0375
2024-01-02T16:00:00,USTECH006,momentum,-0.0250
2024-01-02T16:00:00,USTECH007,momentum,-0.0125
2024-01-02T16:00:00,USTECH008,momentum,0.0000
2024-01-02T16:00:00,USTECH009,momentum,0.0125
2024-01-02T16:00:00,USTECH010,momentum,0.0250
2024-01-02T16:00:00,USTECH011,momentum,0.0375
2024-01-02T16:00:00,USTECH012,momentum,0.0500
2024-01-02T16:00:00,USTECH013,momentum,0.0625
2024-01-02T16:00:00,USTECH014,momentum,0.0750
2024-01-02T16:00:00,USTECH015,momentum,0.0875
2024-01-02T16:00:00,USTECH016,momentum,0.1000
2024-01-02T16:00:00,USTECH017,momentum,-0.1000
2024-01-02T16:00:00,USTECH018,momentum,-0.0875
2024-01-02T16:00:00,USTECH019,momentum,-0.0750
2024-01-02T16:00:00,USTECH020,momentum,-0.0625
2024-01-02T16:00:00,USTECH021,momentum,-0.0500
2024-01-02T16:00:00,USTECH022,momentum,-0.0375
2024-01-02T16:00:00,USTECH023,momentum,-0.0250
2024-01-02T16:00:00,USTECH024,momentum,-0.0125
2024-01-02T16:00:00,USTECH025,momentum,0.0000
2024-01-02T16:00:00,USTECH026,momentum,0.0125
2024-01-02T16:00:00,USTECH027,momentum,0.0250
2024-01-02T16:00:00,USTECH028,momentum,0.0375
2024-01-02T16:00:00,USTECH029,momentum,0.0500
2024-01-02T16:00:00,USTECH030,momentum,0.0625
2024-01-02T16:00:00,USTECH031,momentum,0.0750
2024-01-02T16:00:00,USTECH032,momentum,0.0875
2024-01-02T16:00:00,USTECH033,momentum,0.1000
2024-01-02T16:00:00,USTECH034,momentum,-0.1000
2024-01-02T16:00:00,USTECH035,momentum,-0.0875
2024-01-02T16:00:00,USTECH036,momentum,-0.0750
2024-01-02T16:00:00,USTECH037,momentum,-0.0625
2024-01-02T16:00:00,USTECH038,momentum,-0.0500
2024-01-02T16:00:00,USTECH039,momentum,-0.0375
2024-01-02T16:00:00,USTECH040,momentum,-0.0250
2024-01-02T16:00:00,USTECH041,momentum,-0.0125
2024-01-02T16:00:00,USTECH042,momentum,0.0000
2024-01-02T16:00:00,USTECH043,momentum,0.0125
2024-01-02T16:00:00,USTECH044,momentum,0.0250
2024-01-02T16:00:00,USTECH045,momentum,0.0375
2024-01-02T16:00:00,USTECH046,momentum,0.0500
2024-01-02T16:00:00,USTECH047,momentum,0.0625
2024-01-02T16:00:00,USTECH048,momentum,0.0750
2024-01-02T16:00:00,USTECH049,momentum,0.0875
2024-01-02T16:00:00,USTECH050,momentum,0.1000
2024-01-02T16:00:00,USTECH051,momentum,-0.1000
2024-01-02T16:00:00,USTECH052,momentum,-0.0875
2024-01-02T16:00:00,USTECH053,momentum,-0.0750
2024-01-02T16:00:00,USTECH054,momentum,-0.0625
2024-01-02T16:00:00,USTECH055,momentum,-0.0500
