timestamp,symbol,price
2024-01-02T16:00:00,USTECH001,26.14
2024-01-02T16:00:00,USTECH002,27.56
2024-01-02T16:00:00,USTECH003,28.98
2024-01-02T16:00:00,USTECH004,30.40
2024-01-02T16:00:00,USTECH005,31.82
2024-01-02T16:00:00,USTECH006,33.24
2024-01-02T16:00:00,USTECH007,34.66
2024-01-02T16:00:00,USTECH008,36.08
2024-01-02T16:00:00,USTECH009,36.87
2024-01-02T16:00:00,USTECH010,38.29
2024-01-02T16:00:00,USTECH011,39.71
2024-01-02T16:00:00,USTECH012,41.13
2024-01-02T16:00:00,USTECH013,42.55
2024-01-02T16:00:00,USTECH014,43.97
2024-01-02T16:00:00,USTECH015,45.39
2024-01-02T16:00:00,USTECH016,46.81
2024-01-02T16:00:00,USTECH017,48.23
2024-01-02T16:00:00,USTECH018,49.02
2024-01-02T16:00:00,USTECH019,50.44
2024-01-02T16:00:00,USTECH020,51.86
2024-01-02T16:00:00,USTECH021,53.28
2024-01-02T16:00:00,USTECH022,54.70
2024-01-02T16:00:00,USTECH023,56.12
2024-01-02T16:00:00,USTECH024,57.54
2024-01-02T16:00:00,USTECH025,58.96
2024-01-02T16:00:00,USTECH026,60.38
2024-01-02T16:00:00,USTECH027,61.17
2024-01-02T16:00:00,USTECH028,62.59
2024-01-02T16:00:00,USTECH029,64.01
2024-01-02T16:00:00,USTECH030,65.43
2024-01-02T16:00:00,USTECH031,66.85
2024-01-02T16:00:00,USTECH032,68.27
2024-01-02T16:00:00,USTECH033,69.69
2024-01-02T16:00:00,USTECH034,71.11
2024-01-02T16:00:00,USTECH035,72.53
2024-01-02T16:00:00,USTECH036,73.32
2024-01-02T16:00:00,USTECH037,74.74
2024-01-02T16:00:00,USTECH038,76.16
2024-01-02T16:00:00,USTECH039,77.58
2024-01-02T16:00:00,USTECH040,79.00
2024-01-02T16:00:00,USTECH041,80.42
2024-01-02T16:00:00,USTECH042,81.84
2024-01-02T16:00:00,USTECH043,83.26
2024-01-02T16:00:00,USTECH044,84.68
2024-01-02T16:00:00,USTECH045,85.47
2024-01-02T16:00:00,USTECH046,86.89
2024-01-02T16:00:00,USTECH047,88.31
2024-01-02T16:00:00,USTECH048,89.73
2024-01-02T16:00:00,USTECH049,91.15
2024-01-02T16:00:00,USTECH050,92.57
2024-01-02T16:00:00,USTECH051,93.99
2024-01-02T16:00:00,USTECH052,95.41
2024-01-02T16:00:00,USTECH053,96.83
2024-01-02T16:00:00,USTECH054,97.62
2024-01-02T16:00:00,USTECH055,99.04
2024-01-02T16:00:00,USTECH056,100.46
2024-01-02T16:00:00,USTECH057,101.88
2024-01-02T16:00:00,USTECH058,103.30
2024-01-02T16:00:00,USTECH059,104.72
2024-01-02T16:00:00,USTECH060,106.14
2024-01-02T16:00:00,USTECH061,107.56
